2186 0xe88a []	Raet NU (Ligatur)
2187 0xe88b []	Raet <half> (numeral)  (0)
2188 0xe88c []	Raet <one> (numeral)  (0)
2189 0xe88d []	Raet <five> (numeral)  (0)
2190 0xe88e []	Raet <ten> (numeral)  (0)  [ Lep T1 = Raet Θ1]
2191 0xe88f []	Raet <fifty> (numeral)  (0)
2192 0xe890 []	Raet <hundred> (numeral)  (0)
2193 0xe891 []	Raet <thousand>2 (numeral)  (0) 1
2194 0xe892 []	Raet <thousand>1 (numeral)  (0)
2195 0xe893 []	LepCam S7  (Morandi 1998:107)  [= Run Z3) 231
2196 0xe894 []	LepCam P7 sin 232
2197 0xe895 []	LepCam N?/Ksi? (0, FdN, Morandi 1998:107) [= Run N3 sin/dex
			 = Raet L4 sin  (0)] 233
2198 0xe896 []	LepCam N11 sin (0, FdN) 234
2199 0xe897 []	LepCam N11 dex (0, PC 10) 235
2200 0xe898 []	LepCam K9 (0, PC 10) 236
2201 0xe899 []	LepCam H1 (=, FdN, PC 10) [Run H1 sin/dex = Raet H1 sin
			 = Lep N5 sin] 237
2202 0xe89a []	LepCam Z12 (0, FdN) [Run Z2 = Raet X2] 238
2203 0xe89b []	LepCam Z13 (0, PC 10)  [= Run Z1 = Lep X4 = Raet X1] 239
2204 0xe89c []	LepCam V4 (0, FdN)  [= Lep E5 sin] 240
2205 0xe89d []	LepCam V5 (0, PC 10) 241
2206 0xe89e []	LepCam D1  [= Run Þ2 dex] 242
2207 0xe89f []	LepCam D2  [= Raet R2 sin] 243

2208 0xe8a0 []	LepCam C2  (0, PC 10 FdN)  [= Etr C2] 244
2209 0xe8a1 []	LepCam B2 (0, PC 10) 245
2210 0xe8a2 []	Lep A1 sin  [=Raet V1 sin] 1		
2211 0xe8a3 []	Lep A1 dex  [=Raet V1 dex] 2
2212 0xe8a4 []	Lep A2 sin 3
2213 0xe8a5 []	Lep A2 dex 4
2214 0xe8a6 []	Lep A3 sin  [= Raet V3 sin] 5
2215 0xe8a7 []	Lep A3 dex  [= Raet V3 dex] 6
2216 0xe8a8 []	Lep A4 sin  [= Raet L1 sin = Raet P2 sin = Raet T3 dex] 7
2217 0xe8a9 []	Lep A4 dex  [= Raet L1 dex = Raet P2 dex = Raet T3 sin]  (0) 8
2218 0xe8aa []	Lep A5 sin  (0) 9 
